source_relation,inventory_summary_id,asin,fn_sku,seller_sku,product_name,condition,last_updated_at,total_quantity,total_researching_quantity,total_reserved_quantity,fullfillable_quantity,total_unfulfillable_quantity,pending_customer_order_quantity,pending_transshipment_quantity,fc_processing_quantity,inblound_shipped_quantity,inbound_receiving_quantity,inbound_working_quantity,warehouse_damaged_quantity,carrier_damaged_quantity,customer_damaged_quantity,defective_quantity,distributor_damaged_quantity,expired_quantity,granularity_id,granularity_type
amazon_selling_partner.public,FIVETRAN-00000,B0E7STG6605,FNSKU-77560,SKU-1728,Laptop Stand,Used - Good,2025-01-17 19:36:52,321,17,77,211,16,6,3,4,5,15,2,9,5,1,10,4,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00001,B0E7STG6684,FNSKU-83532,SKU-7882,Bluetooth Speaker,Refurbished,2025-01-02 19:36:52,60,0,9,41,10,9,4,5,5,20,17,3,2,4,3,7,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00002,B0E7STG4721,FNSKU-94063,SKU-5712,Wireless Mouse,Used - Acceptable,2025-01-04 19:36:52,123,1,18,87,17,10,3,3,19,17,0,1,1,3,0,7,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00003,B0E7STG7286,FNSKU-47858,SKU-3563,USB Cable,Used - Like New,2025-01-16 19:36:52,175,4,5,157,9,4,0,7,2,12,0,0,5,8,3,1,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00004,B0E7STG6845,FNSKU-61023,SKU-9209,Wireless Mouse,Used - Acceptable,2025-01-25 19:36:52,340,5,55,277,3,8,5,15,19,17,12,0,8,5,0,9,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00005,B0E7STG9922,FNSKU-23744,SKU-2963,Phone Case,Refurbished,2025-01-19 19:36:52,476,4,28,411,33,10,3,14,7,11,14,4,4,5,9,2,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00006,B0E7STG1865,FNSKU-79678,SKU-8931,USB Cable,Used - Good,2025-01-07 19:36:52,138,2,6,125,5,4,1,8,16,17,17,5,2,6,8,6,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00007,B0E7STG4397,FNSKU-50615,SKU-5560,USB Cable,Refurbished,2025-01-18 19:36:52,286,6,66,189,25,1,3,0,2,0,9,8,9,1,10,4,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00008,B0E7STG6340,FNSKU-93544,SKU-2372,Phone Case,Used - Like New,2025-01-28 19:36:52,136,5,21,91,19,0,5,12,19,0,12,2,9,8,6,8,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00009,B0E7STG1461,FNSKU-57798,SKU-3196,Wireless Mouse,Used - Like New,2025-01-12 19:36:52,342,30,24,237,51,7,5,4,8,9,5,7,3,0,4,1,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00010,B0E7STG1446,FNSKU-38892,SKU-8660,Phone Case,Refurbished,2025-01-01 19:36:52,72,7,16,44,5,3,0,12,17,12,19,1,4,9,6,2,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00011,B0E7STG5396,FNSKU-71904,SKU-8342,Wireless Mouse,New,2025-01-28 19:36:52,181,0,10,142,29,6,4,4,2,14,1,6,10,0,0,10,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00012,B0E7STG3434,FNSKU-71225,SKU-8308,Wireless Mouse,Used - Good,2025-01-21 19:36:52,184,9,19,146,10,2,5,10,17,4,4,0,4,0,8,5,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00013,B0E7STG5263,FNSKU-60047,SKU-7224,Phone Case,Used - Like New,2025-01-13 19:36:52,184,4,4,159,17,2,4,7,9,13,18,9,6,0,1,2,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00014,B0E7STG5688,FNSKU-46991,SKU-4512,Wireless Mouse,Used - Good,2025-01-16 19:36:52,269,8,35,182,44,1,0,10,3,2,11,3,1,4,10,5,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00015,B0E7STG7997,FNSKU-26768,SKU-9276,Wireless Mouse,Refurbished,2025-01-18 19:36:52,391,6,90,243,52,3,0,1,11,7,20,2,3,4,3,4,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00016,B0E7STG6585,FNSKU-52112,SKU-4481,Laptop Stand,New,2025-01-28 19:36:52,294,23,40,224,7,1,5,5,3,10,5,0,4,2,9,10,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00017,B0E7STG2159,FNSKU-52080,SKU-2673,Phone Case,Used - Good,2025-01-22 19:36:52,17,0,2,13,2,10,4,7,9,5,13,3,4,9,5,6,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00018,B0E7STG5684,FNSKU-99000,SKU-5628,Laptop Stand,Used - Acceptable,2025-01-04 19:36:52,34,1,6,21,6,8,1,7,17,14,2,7,1,0,5,3,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00019,B0E7STG6114,FNSKU-21346,SKU-2122,Phone Case,Used - Like New,2025-01-13 19:36:52,226,20,52,109,45,0,2,12,1,11,15,9,1,7,1,6,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00020,B0E7STG6075,FNSKU-73571,SKU-2725,Phone Case,Refurbished,2025-01-21 19:36:52,300,10,0,230,60,4,2,6,16,11,9,4,7,7,10,7,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00021,B0E7STG7881,FNSKU-68885,SKU-6899,Phone Case,Refurbished,2025-01-24 19:36:52,243,7,1,199,36,1,1,11,0,2,0,7,9,2,7,5,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00022,B0E7STG8292,FNSKU-56792,SKU-1636,Wireless Mouse,Used - Acceptable,2025-01-09 19:36:52,284,6,30,198,50,9,4,7,16,17,0,9,4,6,10,9,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00023,B0E7STG8471,FNSKU-55041,SKU-7693,Laptop Stand,Used - Acceptable,2025-01-08 19:36:52,450,43,37,334,36,2,4,12,5,12,15,3,2,3,6,8,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00024,B0E7STG9249,FNSKU-93415,SKU-5755,Bluetooth Speaker,Used - Like New,2025-01-10 19:36:52,164,13,31,109,11,5,4,1,15,9,7,3,1,3,8,2,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00025,B0E7STG4870,FNSKU-45884,SKU-4490,Wireless Mouse,Used - Like New,2025-01-16 19:36:52,104,8,23,59,14,4,2,13,12,8,6,3,1,10,5,6,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00026,B0E7STG6228,FNSKU-21170,SKU-1996,USB Cable,Used - Like New,2025-01-09 19:36:52,105,3,12,79,11,5,3,2,4,3,8,3,7,0,10,1,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00027,B0E7STG3370,FNSKU-90788,SKU-7001,Wireless Mouse,Used - Like New,2025-01-01 19:36:52,209,6,11,175,17,3,3,12,15,12,17,9,10,10,5,4,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00028,B0E7STG6880,FNSKU-30086,SKU-6283,Wireless Mouse,New,2025-01-03 19:36:52,459,15,101,313,30,2,1,10,12,20,6,1,9,4,10,1,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00029,B0E7STG6108,FNSKU-40224,SKU-3200,Wireless Mouse,New,2025-01-19 19:36:52,326,29,19,256,22,9,1,8,3,9,11,7,9,8,5,6,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00030,B0E7STG3881,FNSKU-29628,SKU-8990,Bluetooth Speaker,Refurbished,2025-01-26 19:36:52,2,0,0,2,0,1,0,0,0,17,10,10,7,6,9,3,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00031,B0E7STG6463,FNSKU-52130,SKU-3693,USB Cable,New,2025-01-24 19:36:52,400,33,73,271,23,2,5,3,1,19,1,0,2,1,10,9,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00032,B0E7STG1307,FNSKU-20983,SKU-4100,USB Cable,Used - Like New,2025-01-29 19:36:52,59,1,9,48,1,6,4,13,3,2,0,4,2,4,2,8,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00033,B0E2STG2962,FNSKU-82944,SKU-8346,USB Cable,Refurbished,2025-01-09 19:36:52,474,35,61,336,42,9,1,15,4,20,11,6,5,1,1,6,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00034,B0E7STG4686,FNSKU-97454,SKU-5963,Wireless Mouse,Used - Like New,2025-01-14 19:36:52,346,33,37,234,42,9,2,9,13,4,4,6,9,0,6,1,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00035,B0E7STG7897,FNSKU-23220,SKU-7569,Bluetooth Speaker,Used - Acceptable,2025-01-24 19:36:52,202,4,45,143,10,0,1,9,15,10,3,10,3,10,0,9,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00036,B0E7STG1150,FNSKU-56973,SKU-3374,Wireless Mouse,Refurbished,2025-01-22 19:36:52,166,15,21,117,13,10,0,7,3,1,4,5,2,2,2,6,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00037,B0E7STG4612,FNSKU-89445,SKU-1678,Wireless Mouse,Used - Acceptable,2025-01-29 19:36:52,207,18,9,177,3,8,1,4,17,11,3,6,5,2,6,8,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00038,B0E7STG1246,FNSKU-57000,SKU-1338,USB Cable,Used - Acceptable,2025-01-17 19:36:52,247,22,4,196,25,2,0,4,5,3,16,4,3,9,0,8,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00039,B0E7STG5474,FNSKU-81315,SKU-3899,Wireless Mouse,Used - Good,2025-01-16 19:36:52,299,14,5,241,39,3,2,5,0,15,10,3,10,7,0,6,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00040,B0E7STG6072,FNSKU-62503,SKU-5062,Wireless Mouse,New,2025-01-13 19:36:52,232,19,45,168,0,1,1,8,14,18,1,10,7,6,0,4,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00041,B0E7STG4480,FNSKU-84933,SKU-9401,Laptop Stand,Used - Acceptable,2025-01-18 19:36:52,141,13,26,87,15,3,2,14,7,10,4,4,8,5,8,9,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00042,B0E7STG5204,FNSKU-89447,SKU-6540,Laptop Stand,Used - Acceptable,2025-01-02 19:36:52,202,19,34,111,38,1,3,5,12,7,16,0,0,4,0,2,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00043,B0E7STG2857,FNSKU-29738,SKU-7489,Bluetooth Speaker,Refurbished,2024-12-31 19:36:52,51,3,0,42,6,0,1,12,18,8,3,0,9,8,8,0,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00044,B0E7STG5913,FNSKU-24393,SKU-8127,USB Cable,Used - Acceptable,2025-01-25 19:36:52,488,7,82,335,64,10,5,4,4,7,0,6,0,3,10,10,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00045,B0E7STG6775,FNSKU-87218,SKU-9307,Laptop Stand,Used - Acceptable,2025-01-23 19:36:52,238,18,55,139,26,3,0,11,13,16,11,5,8,6,0,4,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00046,B0E7STG7251,FNSKU-95509,SKU-2232,Phone Case,New,2025-01-20 19:36:52,78,2,10,61,5,0,0,12,14,11,16,6,4,5,3,2,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00047,B0E7STG3615,FNSKU-59273,SKU-7442,Bluetooth Speaker,Used - Acceptable,2025-01-17 19:36:52,223,11,14,158,40,4,4,7,5,19,13,1,0,3,7,2,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00048,B0E7STG6802,FNSKU-17780,SKU-7329,Bluetooth Speaker,Used - Acceptable,2025-01-18 19:36:52,334,6,17,265,46,3,3,12,1,12,19,6,2,8,5,7,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00049,B0E7STG8958,FNSKU-95954,SKU-5451,Wireless Mouse,New,2025-01-10 19:36:52,414,41,50,275,48,0,2,15,10,11,2,1,6,8,1,8,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00050,B0E7STG1102,FNSKU-52300,SKU-5105,Bluetooth Speaker,Used - Good,2025-01-01 19:36:52,268,0,56,197,15,6,5,11,10,12,13,1,7,0,4,1,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00051,B0E7STG9465,FNSKU-79663,SKU-1029,Wireless Mouse,Refurbished,2025-01-18 19:36:52,196,0,47,114,35,3,5,6,12,6,10,2,5,0,1,8,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00052,B0E7STG3945,FNSKU-39784,SKU-9032,Wireless Mouse,Used - Good,2025-01-18 19:36:52,186,6,35,113,32,0,3,12,15,6,9,10,4,2,5,9,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00053,B0E7STG1846,FNSKU-26087,SKU-4227,Bluetooth Speaker,New,2025-01-02 19:36:52,364,18,3,273,70,10,3,8,17,7,8,3,7,10,9,7,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00054,B0E7STG9963,FNSKU-83197,SKU-1339,USB Cable,Used - Acceptable,2025-01-25 19:36:52,144,14,17,107,6,9,5,13,5,20,19,6,4,5,5,2,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00055,B0E7STG4464,FNSKU-17312,SKU-9404,Wireless Mouse,Refurbished,2025-01-26 19:36:52,487,28,48,352,59,2,4,12,15,16,0,6,7,8,1,7,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00056,B0E7STG6452,FNSKU-26011,SKU-7427,Wireless Mouse,Used - Acceptable,2025-01-02 19:36:52,245,6,58,137,44,0,5,10,3,17,15,6,3,8,5,8,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00057,B0E7STG8651,FNSKU-99575,SKU-9631,Laptop Stand,New,2025-01-14 19:36:52,495,43,39,396,17,10,3,9,14,13,11,4,8,5,7,2,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00058,B0E7STG2962,FNSKU-39156,SKU-8826,Phone Case,Used - Like New,2025-01-02 19:36:52,225,5,16,194,10,3,3,4,20,1,0,2,5,10,0,10,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00059,B0E7STG1843,FNSKU-75604,SKU-5408,Wireless Mouse,Used - Like New,2025-01-28 19:36:52,42,0,10,30,2,10,3,8,3,7,10,10,2,6,3,10,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00060,B0E7STG2877,FNSKU-48043,SKU-2506,Wireless Mouse,New,2025-01-05 19:36:52,318,5,68,242,3,8,3,4,17,7,2,3,2,8,6,2,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00061,B0E7STG5820,FNSKU-10770,SKU-9242,Laptop Stand,New,2025-01-27 19:36:52,68,1,12,53,2,0,0,8,19,4,1,0,2,9,7,4,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00062,B0E7STG4583,FNSKU-51778,SKU-5517,Bluetooth Speaker,Used - Like New,2025-01-23 19:36:52,166,4,5,126,31,9,1,14,8,0,1,8,10,5,8,5,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00063,B0E7STG8517,FNSKU-71582,SKU-1434,Laptop Stand,Refurbished,2025-01-02 19:36:52,409,33,11,296,69,8,0,4,14,15,16,6,5,6,4,3,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00064,B0E7STG4890,FNSKU-58193,SKU-4799,Phone Case,Used - Like New,2025-01-06 19:36:52,48,2,9,34,3,5,4,15,20,19,12,6,5,5,4,1,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00065,B0E7STG9714,FNSKU-61856,SKU-1142,Phone Case,New,2025-01-25 19:36:52,440,1,48,375,16,4,5,14,1,12,5,5,0,10,1,3,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00066,B0E7STG4951,FNSKU-57858,SKU-9065,Bluetooth Speaker,New,2025-01-24 19:36:52,3,0,0,3,0,1,1,15,13,1,15,2,5,2,7,10,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00067,B0E7STG9825,FNSKU-59690,SKU-4777,Phone Case,Used - Like New,2024-12-31 19:36:52,88,3,6,63,16,5,0,0,0,18,14,1,2,4,6,7,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00068,B0E7STG6668,FNSKU-90190,SKU-1045,Phone Case,Used - Good,2025-01-23 19:36:52,354,9,42,254,49,8,2,11,3,5,2,8,0,1,2,3,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00069,B0E7STG6940,FNSKU-80532,SKU-9744,Wireless Mouse,New,2025-01-02 19:36:52,137,3,14,101,19,5,0,12,6,1,10,8,8,2,3,0,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00070,B0E7STG1464,FNSKU-54215,SKU-5927,Bluetooth Speaker,New,2025-01-04 19:36:52,220,22,34,162,2,2,2,8,16,19,7,7,0,10,3,2,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00071,B0E7STG2635,FNSKU-58387,SKU-2521,Laptop Stand,Used - Good,2025-01-28 19:36:52,300,5,21,253,21,3,5,0,10,17,0,2,9,6,8,6,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00072,B0E7STG6311,FNSKU-29487,SKU-3279,Wireless Mouse,Used - Acceptable,2025-01-08 19:36:52,200,13,49,114,24,4,0,7,3,18,11,6,3,4,3,7,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00073,B0E7STG2301,FNSKU-63363,SKU-6283,USB Cable,Used - Good,2025-01-13 19:36:52,161,2,27,101,31,1,1,12,5,11,10,5,3,0,5,0,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00074,B0E7STG7800,FNSKU-96081,SKU-1318,Laptop Stand,Used - Good,2025-01-08 19:36:52,299,8,39,198,54,5,5,15,18,4,14,2,10,6,7,5,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00075,B0E7STG6338,FNSKU-60610,SKU-9486,Phone Case,New,2025-01-28 19:36:52,153,10,17,99,27,8,3,12,8,19,9,6,1,5,5,7,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00076,B0E7STG6512,FNSKU-75462,SKU-2626,Phone Case,Used - Acceptable,2025-01-12 19:36:52,417,40,78,294,5,7,4,10,12,7,11,7,10,1,7,3,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00077,B0E7STG5084,FNSKU-91952,SKU-6357,Wireless Mouse,Used - Acceptable,2024-12-31 19:36:52,22,1,0,20,1,1,4,4,10,18,11,6,3,2,6,0,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00078,B0E7STG1689,FNSKU-85348,SKU-7187,Bluetooth Speaker,Used - Like New,2025-01-12 19:36:52,255,17,41,153,44,6,3,0,7,6,10,9,8,3,5,3,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00079,B0E7STG1501,FNSKU-15149,SKU-4376,Phone Case,New,2025-01-20 19:36:52,354,24,36,244,50,5,4,7,9,1,8,7,10,3,3,3,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00080,B0E7STG3302,FNSKU-86020,SKU-4058,Bluetooth Speaker,Used - Like New,2025-01-10 19:36:52,438,6,101,260,71,4,0,7,17,8,13,5,1,0,7,5,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00081,B0E7STG4846,FNSKU-79776,SKU-6896,Laptop Stand,Used - Good,2025-01-21 19:36:52,493,14,41,421,17,5,0,6,16,13,10,1,9,5,4,0,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00082,B0E7STG1857,FNSKU-65469,SKU-1760,Laptop Stand,Used - Good,2024-12-31 19:36:52,125,3,10,109,3,1,5,8,12,20,6,5,8,7,2,2,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00083,B0E7STG9484,FNSKU-65885,SKU-5296,Phone Case,New,2025-01-16 19:36:52,187,8,23,150,6,3,4,15,13,18,9,8,4,6,10,2,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00084,B0E7STG9270,FNSKU-36065,SKU-3918,Phone Case,Used - Good,2025-01-23 19:36:52,73,5,15,41,12,7,4,12,13,12,20,10,10,0,8,8,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00085,B0E7STG1444,FNSKU-52193,SKU-7099,Wireless Mouse,Used - Good,2025-01-06 19:36:52,496,7,101,342,46,8,3,4,3,20,5,8,8,8,10,2,3,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00086,B0E7STG4557,FNSKU-52875,SKU-5624,USB Cable,New,2025-01-15 19:36:52,307,6,50,247,4,1,3,2,19,9,19,10,7,10,3,3,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00087,B0E7STG4684,FNSKU-19538,SKU-4698,USB Cable,New,2025-01-09 19:36:52,272,27,27,171,47,3,5,14,0,16,13,5,2,2,10,7,0,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00088,B0E7STG4263,FNSKU-88582,SKU-9443,Phone Case,New,2025-01-20 19:36:52,154,0,34,92,28,0,5,9,8,5,10,3,5,10,4,2,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00089,B0E7STG4368,FNSKU-94973,SKU-2009,USB Cable,Used - Like New,2025-01-09 19:36:52,476,35,71,353,17,2,0,7,15,20,7,8,6,2,9,7,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00090,B0E7STG9074,FNSKU-98763,SKU-7061,Bluetooth Speaker,Used - Like New,2025-01-13 19:36:52,297,0,37,204,56,5,2,9,3,17,16,3,3,7,1,2,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00091,B0E7STG9062,FNSKU-20675,SKU-5000,USB Cable,Used - Good,2025-01-04 19:36:52,376,19,44,288,25,2,3,8,2,13,4,5,2,6,4,6,2,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00092,B0E7STG5938,FNSKU-45330,SKU-9711,Laptop Stand,Used - Acceptable,2025-01-04 19:36:52,124,8,4,94,18,0,5,3,0,13,18,5,9,9,3,10,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00093,B0E7STG1636,FNSKU-86605,SKU-7053,USB Cable,New,2025-01-20 19:36:52,187,6,46,124,11,3,1,6,0,18,12,8,7,6,5,2,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00094,B0E7STG2699,FNSKU-15397,SKU-9117,Wireless Mouse,Refurbished,2025-01-24 19:36:52,396,0,13,351,32,10,5,14,7,6,0,10,4,7,8,2,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00095,B0E7STG3532,FNSKU-53556,SKU-3653,Laptop Stand,Used - Acceptable,2025-01-21 19:36:52,161,3,31,107,20,5,0,0,15,2,13,0,6,2,1,7,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00096,B0E7STG3510,FNSKU-89557,SKU-2491,Phone Case,Used - Good,2025-01-26 19:36:52,227,22,6,186,13,8,2,8,5,12,7,8,5,9,0,0,1,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00097,B0E7STG3787,FNSKU-56210,SKU-6425,USB Cable,Used - Like New,2025-01-21 19:36:52,246,15,57,143,31,1,5,5,2,9,6,4,9,4,3,9,5,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00098,B0E7STG5917,FNSKU-88380,SKU-2976,Laptop Stand,Refurbished,2025-01-19 19:36:52,82,3,13,58,8,5,5,3,4,7,13,7,9,1,8,0,4,MPIDRANDOM,Marketplace
amazon_selling_partner.public,FIVETRAN-00099,B0E7STG1691,FNSKU-22842,SKU-9603,Wireless Mouse,Used - Acceptable,2025-01-03 19:36:52,414,27,83,231,73,0,2,10,19,16,19,2,8,4,4,5,4,MPIDRANDOM,Marketplace
