mandt,posnr,vbeln,uvpak,uvvlk,mill_vs_vssta,pksta,lssta,vlstp,absta,fksta,fkivp,lfgsa,rrsta,lfsta,fksaa,wbsta,ltsps,costa,fssta,kosta,uvpik,uvfak,uvall,rfgsa,uvprs,lvsta,rfsta,cmppj,cmppi,hdall,besta,pdsta,fsh_ar_stat_itm,manek,gbsta,uvwak,dcsta,uvp05,uvp02,uvp04,koqua,uvp01,uvp03,_fivetran_deleted,_fivetran_synced,_fivetran_sap_archived
val1,1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,val1,t,2023-01-01 12:00:00,val1
val2,2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,val2,f,2023-01-02 12:00:00,val2
val3,3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,val3,f,2023-01-03 12:00:00,val3
val26,0,vb0003,val10,val11,vAl48,val24,VAl26,val1932,vaL4,VaL13,vAL17,vAL2,VaL35,VaL25,VAl19,vaL60,val21,VAl19,vaL4,vaL43,vAl80,VAl10,vAl30,val2761,Val6,vAL1,vaL9,VAl20,VAl21,Val68,val13,vAl65,Val68,vAl0,vAl3,vaL8,vAL34,Val5,vAl82,VaL33,val2979,VaL12,vAL2,f2,2023-01-01 18:04:56,VaL14
Val02,13,vb0026,val22,val33,vAl85,vAL15,val25,VAl3,Val47,vaL8,vAl31,VAl15,val11,val13,VaL2,vaL6,Val8,val83,val32,vAL23,val274,vaL16,VAl1,Val7,val2353,vaL9,val25,VAl28,vAl93,Val07,val21,vAl88,vAl6,vAL36,vaL68,Val21,VaL23,vAl9,vAl24,VAl3,vAl13,VAl2,VaL30,f7,2023-01-02 00:41:02,Val93
vAL38,9,vb0049,VAl19,vaL40,VaL10,vaL01,VaL17,val7,VaL25,VAl28,VAl22,vaL55,vAl51,vAL39,vAL15,vAl16,VaL36,Val00,Val30,vAL28,vaL08,VAl2,val10,vAl3,vAL3,vaL00,Val27,VAl38,val2197,val13,vAl5,VaL28,VaL1,vaL35,VAl39,Val5,Val66,val08,vAl48,Val25,vAl7,val25,Val13,t185,2023-01-02 12:07:13,VAl30
VAl3,7,vb0018,VAl31,VAl11,vAl9,vaL90,Val77,vAl17,val39,val9,VaL25,vAl57,VAl3,VAl38,Val7,vaL3,val8,val10,VaL3,VaL15,Val62,VAl25,vAL21,vAl27,VAl3,val18,Val42,vAL34,vaL72,val113,vaL05,Val8,val5,VaL34,VaL2,val32,VaL15,vAl7,VaL37,vaL57,vaL70,Val06,VAl16,f0,2023-01-03 10:46:57,vAL11
val21,-3,vb0009,val39,vAL11,vAl8,Val6,val34,vaL79,val35,val14,vAL37,VaL37,vAl98,val29,val11,vAl05,Val9,val25,vaL04,vaL52,vAl99,vAL36,vAl8,VAl2,VAl11,vAl53,VaL15,vAl84,vAL34,vaL26,vaL8,vAl3,vAl64,vaL78,vAL22,VAl13,val84,val32,val25,vAl6,val30,val19,vAL36,t3,2023-01-02 22:38:05,VaL2
Val75,1,vb0034,vAl45,val1599,val6,vaL53,val20,val39,val28,VaL18,val3744,Val91,val2864,VAl3,Val31,Val8,val15,val40,VAl24,VaL14,VaL34,val39,vAL28,vAL1,VaL33,val19,Val94,vAL37,VaL32,vAL20,vaL23,VAl31,Val66,vAl22,VAl1,vAl33,VaL36,val21,Val1,val37,vaL36,Val15,vAL2,f6,2023-01-01 22:45:41,val2664
VAl3,13,vb0025,vAl2,VAl3,val36,val35,Val96,VAl1,vAl59,Val45,vAL12,vaL84,val31,val30,vAl53,VAl30,VAl34,vAL1,val3815,val3778,VaL32,vAl9,VAl18,vAL1,val31,vAL3,vaL44,val2212,vaL9,val2510,Val07,vAl66,val1984,VaL2,val4,VaL30,val3600,val94,VaL20,VaL3,vAl8,vAL27,val1276,t8,2023-01-01 22:58:54,vAl99
vAL13,5,vb0079,vaL86,vAl0,val3485,val3704,val11,vAl6,val37,vaL77,Val29,VAl3,Val91,vAl94,val2495,vAL25,vAL26,VAl26,val9,VaL33,Val56,VaL18,VaL1,vAl9,vaL0,val13,val3500,Val89,VaL26,vAl84,val16,VAl1,VAl3,Val5,vaL78,VaL2,vAl5,vAL1,vAl60,val3926,VaL27,val11,vaL96,f621,2023-01-01 20:46:46,vaL75
vAl15,11,vb0019,VaL34,Val8,VAl3,vAL27,Val82,val2593,vAL36,val6,vAl12,val38,vAl98,Val6,val2615,VaL20,VAl3,val12,VaL3,VaL21,vAL21,vAl90,vaL22,VAl2,VaL22,Val0,vAl88,val36,VaL22,val78,val31,val5,vAl73,val23,Val56,vAl2,vAL39,vAL32,vAL3,val85,val2369,vAl27,Val75,t0,2023-01-03 03:19:38,VAl2
vaL02,2,vb0037,val8,vaL8,Val51,vAl4,VaL12,vAL3,val58,VAl14,vaL6,vaL6,Val05,vaL5,VAl25,val12,val6,vAL28,Val3,vAL38,VAl2,val19,vAl82,vaL73,Val56,VAl32,val264,VAl2,val32,val2523,vaL05,VAl12,val22,vAL23,Val81,val1439,val9,Val07,Val99,VAl30,vaL46,val14,vAL34,f4,2023-01-02 10:34:04,VAl2
vAl98,4,vb0085,vAl8,val2820,VAl18,val36,vaL3,VAl20,VaL2,val27,VAl3,vAl93,vAL23,Val18,VAl38,val52,VAl3,vaL16,Val3,VaL11,VAl14,VAl15,Val59,vAL2,val17,vAL1,vaL6,VaL2,vaL2,Val57,val141,VAl34,val1188,VAl36,VaL23,VAl20,vAL28,vAl13,val1466,VAl30,val3849,val38,Val95,f6,2023-01-02 20:07:26,vAL2
VaL10,13,vb0022,vaL7,val07,VAl10,vAL3,VaL2,vaL15,val17,val12,VAl3,VAl24,VaL1,VaL27,val20,val16,vAL2,val38,vAL33,Val58,vAl57,Val2,vaL6,VaL1,val25,vAl58,VAl29,val40,val36,Val72,val20,vAL36,Val56,val37,vAL26,vaL4,vAl2,vAL25,vAl9,val24,vAl07,VaL1,val14,t376,2023-01-01 21:22:28,val11
vAL25,-4,vb0015,vAL33,val34,VAl15,VaL2,vAl0,vAL24,val30,Val1,val22,Val99,VaL24,vAL29,Val54,val32,VaL3,val20,VAl35,VaL21,VAl26,vAl28,val31,Val07,vaL78,Val85,vaL6,Val11,vAL21,val31,val29,val23,Val35,VaL19,VaL11,vAL25,vAl48,VAl2,val38,vaL33,VaL12,VaL2,vAL29,t3,2023-01-01 16:31:16,vaL9
vAL17,1,vb0067,val3693,val36,vaL09,vAL15,vAl6,val27,VAl16,val3976,VAl22,val60,Val41,vAL3,vAL2,vaL0,vAL28,VAl3,VaL36,vAl36,val3786,Val24,vAl1,Val4,vAl85,vaL83,VaL16,vAl86,vaL33,val41,vAl45,vAL1,vAl2,vAl17,vaL5,val74,vAl29,vaL47,vAL1,val2425,vAl40,val0,val4,f1,2023-01-01 14:31:57,vAL35
val1612,11,vb0075,VaL21,VaL37,vaL21,VaL34,VaL14,VaL34,vAL10,Val6,val1265,vAL2,VAl3,val23,vAl82,VAl16,vAL27,vaL05,vAl05,vAL32,vaL11,VAl23,VAl20,Val09,val33,vAl62,Val0,VaL14,val18,Val40,val2768,vAl6,vAL34,VAl35,val39,Val32,vAL12,val2228,vaL5,val1838,val57,VaL39,vAl16,f394,2023-01-02 05:33:34,val20
VAl33,1,vb0056,vAL28,val32,vaL72,Val32,val17,Val7,vaL07,VaL20,val17,vAl1,VAl14,val3377,val95,val15,vaL68,Val8,val3507,val12,vaL02,VaL28,Val84,val2118,vAl07,vAL16,val11,VaL1,VAl28,vAL2,val20,vaL81,VAl2,vAL38,VAl1,vAL2,vaL4,val20,VaL2,Val5,val11,val1665,val31,f246,2023-01-03 04:45:19,Val20
Val83,2,vb0021,val10,VaL35,vAL35,val06,vAl82,val36,VAl3,VaL2,vAl35,vaL68,Val09,vAl86,val23,VaL35,val74,Val9,Val01,Val98,val32,VaL36,vAl12,VaL2,val2792,vAl8,vAL18,VaL36,vAl5,Val25,vAl7,VAl12,val339,VAl11,val2223,vAl01,vaL15,val1193,Val07,vAl9,vAL38,vAl50,vAl08,f6,2023-01-02 13:36:37,vaL6
val10,3,vb0076,Val56,vaL75,val33,vAl40,Val70,val18,val30,Val49,vAL10,val22,vaL26,val1210,vAl7,vaL83,val11,val1662,vaL50,VAl20,VAl2,Val62,Val63,vAL1,vAL3,vAL1,vaL69,VaL13,vAL14,val21,val25,VaL20,val3448,VAl26,Val6,val2584,vAL38,Val7,vAl75,vAL25,val3899,vaL66,val3807,f0,2023-01-01 15:06:00,Val83
vAl8,8,vb0005,VaL36,val1815,Val16,val37,val2245,vAL1,vaL48,vAL36,val92,Val5,vaL47,VAl33,VAl28,val33,VAl15,VaL13,vAL27,vaL1,val318,vAl87,VAl27,VaL36,vAl4,Val15,vAL23,VaL2,vaL72,vAl3,Val70,vAl52,val31,val76,vAl26,val52,val2435,VAl28,vAl19,vaL52,val1494,Val23,vAl85,f7,2023-01-03 04:48:48,vaL95
vaL2,0,vb0047,Val41,vAl89,vAL23,vAL30,VAl2,Val6,Val7,VAl1,Val57,vAl3,Val4,VaL3,VAl36,Val7,vaL01,VaL24,Val0,val36,VaL28,vAL2,vAl4,vaL88,vaL14,vAL26,val37,val23,val31,vAl69,vaL42,val31,vAL31,vAl51,vaL8,vaL7,vaL44,vaL94,VaL25,vaL8,vAL2,VAl3,Val11,t6,2023-01-02 08:27:24,val1247
vaL88,2,vb0032,val14,VAl2,vaL43,VaL24,vaL00,vAL10,vaL7,vAL17,vAL35,vAL25,Val68,val35,VAl25,val73,VaL35,vAL2,VaL27,val1773,VaL36,Val17,vAl4,VAl3,vAL30,val24,VaL1,vAL37,val1134,Val59,val24,val79,VAl25,vaL96,val95,VaL3,vAl3,vAL38,vAL2,vAL1,vaL5,VAl1,val22,t3,2023-01-02 20:53:29,VaL28
vAl4,-7,vb0043,vAl5,vAL30,val3327,val10,val32,vAL34,vaL52,vAl08,VAl1,val5,VaL21,Val96,val30,val12,Val77,vAl56,VaL18,val32,Val8,val3448,val12,Val33,VaL33,Val95,VAl14,val20,vaL4,val18,vAL22,vAL20,vaL15,Val49,vAL21,Val93,vAl70,val16,vaL93,vAl29,Val0,val16,vAL39,t4,2023-01-03 06:34:56,val17
Val98,13,vb0068,vAL10,vAL21,vAl63,vAl50,val2428,vAl73,vAL15,vAL27,Val37,vAl45,VaL38,val5,vAl70,VaL30,vAL18,val23,vaL00,vAl3,vaL20,VAl3,val36,VAl1,vAL3,vAL16,Val6,vAl78,val37,Val3,Val37,VaL2,val2221,vaL09,vaL3,vAL36,vAL34,VaL2,Val6,vaL04,vAl75,vaL3,val72,f484,2023-01-01 17:30:04,VaL22
vaL46,-1,vb0046,val3127,VAl14,Val75,VaL38,vAL1,VAl34,val28,VaL32,vaL59,VaL3,vaL51,vAl94,VAl21,vaL55,val1454,vaL99,Val5,vaL39,VaL3,VAl26,vAL2,Val6,vaL4,vaL4,VaL3,VAl3,VAl3,VaL2,VAl39,val1479,val9,vaL75,vaL3,VAl10,Val09,val94,vAL38,vaL79,vaL45,vAl3,Val91,f581,2023-01-02 17:00:07,val37
vAL2,6,vb0051,vaL3,VaL1,VaL28,Val40,val03,vaL66,vAL3,vaL50,vaL80,vaL7,VAl3,val36,val33,vAl80,VAl35,VAl2,vaL20,Val92,vAL28,VaL2,VAl2,VAl11,VAl13,VAl30,vAl6,val1503,VaL3,Val8,val32,vAL3,vAL1,val20,VAl37,Val19,vaL83,VAl23,vAL29,vAL1,VAl35,vAL1,val8,f392,2023-01-02 14:57:35,VaL16
val16,-5,vb0048,vAl0,vaL49,val28,vAL17,vAl3,val22,vAL17,VAl2,vAl33,val12,vAl8,val1469,Val7,vAl11,val97,VaL25,val26,vAl16,vAl66,Val85,vAL31,val24,vaL76,VaL30,val18,val3747,vaL15,Val5,vAL30,vAL28,VAl37,VaL25,VaL10,vAl54,Val9,vaL97,val37,val2461,vAl1,val38,VAl33,f8,2023-01-03 00:44:01,Val54
VAl2,3,vb0065,Val84,VaL14,vAl60,vAl2,VAl28,val7,VaL25,val1468,vAl5,vAL22,val29,Val53,val3415,vAL18,vaL5,Val77,vaL3,vaL38,vAl84,val39,VAl28,VAl1,Val19,Val97,vAL2,Val9,Val1,vAl02,VaL13,Val99,VaL26,VaL31,vAL2,val1576,VAl2,vaL97,val35,val34,vaL8,vAL39,vAl67,f409,2023-01-02 18:00:21,val22
vAl7,-9,vb0016,Val63,val1833,vAL19,vaL4,vAl48,vaL22,VaL1,val2662,vAl63,Val55,val15,val16,vAl2,val33,val2733,vAl48,VAl25,vAl01,VAl2,vAL12,val1755,val25,VaL2,val13,Val92,val3957,VAl15,val37,val34,VAl22,VAl22,val10,val35,VaL1,val14,vaL96,VaL29,val3294,VaL28,VaL30,vaL37,f5,2023-01-02 22:27:51,val19
val02,6,vb0052,vaL9,VaL3,vAl57,val36,VaL22,Val7,Val02,VAl31,Val54,vAl05,vAl40,VaL1,val3940,vaL94,val89,vAL19,VaL12,vAl39,vaL07,vAL3,val27,VaL1,vaL02,vaL62,Val70,val293,vAL1,VAl31,VaL3,val48,val1578,vAL30,VaL1,val0,vAL29,VAl13,vaL85,vAl64,vaL77,vAl35,val32,t5,2023-01-02 19:47:53,vaL26
vAl83,-8,vb0007,VaL25,Val61,VAl30,vAl42,vAl20,VAl14,Val59,vAL28,val22,Val75,Val80,Val75,vAl77,val39,val2443,vAL1,Val27,vAl5,VAl3,vaL18,VaL21,Val87,val9,vAl0,val26,vaL58,VAl3,VAl15,VAl35,val3352,Val25,Val21,vaL98,Val2,vAL12,VAl2,val266,val25,VAl3,vAL2,VAl38,f3,2023-01-02 20:58:14,vaL5
vAl67,-6,vb0062,VAl36,VaL2,vaL81,val16,VAl21,Val6,VaL12,vAl6,vAL3,val14,VAl11,vAl50,VAl31,Val82,VaL3,Val9,val382,VAl12,VAl19,val33,VaL2,VaL20,VAl30,VAl3,VAl34,VaL29,val16,VaL27,VAl19,VaL1,val16,vAL39,Val3,vaL0,val08,vAL10,vaL50,vaL78,VaL3,VaL30,VAl26,f8,2023-01-03 00:20:07,vAl2
VAl32,-2,vb0031,VaL29,vaL61,Val2,vAl2,vAL29,Val24,vAL1,vAl75,vAl91,val1629,vAL36,Val58,VAl2,vAL18,val55,VaL27,VAl16,val3959,VaL34,vAl3,vaL08,val60,VAl10,vAl26,vaL68,vAl80,vAL14,vAl88,val235,vaL80,VAl2,val12,Val00,vAL2,VAl1,VAl1,vAl8,vaL07,vAl00,VAl11,vAl93,t8,2023-01-03 04:59:46,vaL9
vAl86,10,vb0083,vAL39,Val6,VaL2,VaL1,VAl17,vAl42,vaL59,vAl96,val14,vAl7,VAl32,vAl4,vAl92,vaL43,Val74,vaL25,vAL2,vAl69,vaL4,vaL79,Val69,val16,val172,VaL27,vaL96,val12,vAl90,val2304,vAl95,vAL3,Val80,vaL04,Val28,vAL28,vaL88,Val4,VaL3,val31,VAl15,val33,VaL3,f5,2023-01-01 23:20:16,VAl3
Val57,-4,vb0058,val29,val23,VaL2,vaL2,vAl98,vAL30,vaL8,val25,VAl1,Val77,val36,VAl15,VAl11,VAl18,vaL25,val2650,vAl0,vAL3,vaL97,VAl29,val2449,vaL87,val2515,VaL25,vAL2,VAl19,vaL21,VAl3,vAL1,val30,vAl7,vaL64,VaL3,VaL2,val2329,vaL22,VaL1,Val0,Val93,vAL15,Val08,t3,2023-01-02 17:21:01,vaL52
vAl6,-8,vb0006,vAL24,val4,vAl93,VAl32,val39,VAl2,vAL1,vaL41,vaL00,vaL0,vaL3,vAL34,val16,vAl91,vaL95,VaL37,vAl1,val24,val36,val8,vAl87,val11,Val83,val10,vAL31,vaL80,VAl12,VAl1,val1372,vAL3,vAL19,VAl12,val21,val19,VAl15,vAL2,vAL11,vaL7,Val5,val32,val43,f9,2023-01-01 12:50:18,vaL34
val11,-8,vb0069,val36,val1521,VaL22,Val8,val14,vaL61,Val42,val96,vaL65,vAl0,vaL8,vAl21,Val05,Val82,vAl0,vAl98,VAl18,VaL39,val95,val32,vAl18,val37,vAL32,Val74,val12,vAl99,vAL12,Val96,vAL2,val256,val18,val31,val30,VaL31,val21,vaL4,Val42,vAl44,vAl9,vaL59,val32,f2,2023-01-03 09:56:14,val17
val34,12,vb0081,VAl2,Val2,vAl69,vaL75,vAL29,vAl35,VAl2,vAl73,vAL3,vaL52,VAl19,VaL20,val1543,VaL37,vaL09,vAl4,vaL28,Val44,VAl34,vAL33,val23,VaL30,vAl2,val03,val38,vaL58,Val58,val30,vAL24,vAL32,val1900,VAl18,val33,vaL72,val39,val34,vAL23,VaL11,VaL1,vAL22,VAl37,f5,2023-01-01 17:18:31,val38
Val50,6,vb0035,val10,vaL9,val3214,val3632,vAl6,Val58,VaL37,vAl9,VAl36,val2514,val27,vAL12,vAL26,VAl1,val2195,val3845,val38,val3271,val29,VAl35,val3120,vAL29,vAl57,val8,VAl29,VAl29,val39,vAL35,val13,val26,vaL0,VaL2,vAL24,vaL84,val36,vAL15,vaL62,vAl8,val39,vAl87,VaL21,t4,2023-01-02 09:27:53,VAl1
VaL17,-3,vb0039,Val59,VaL2,vaL69,val30,vAL1,vAl88,val27,Val3,vAL14,vAL2,vAL37,vAL14,vAL1,val21,vAL13,val18,val18,Val54,VaL37,val19,val20,vaL61,VaL18,vAL16,VAl23,vAl4,val32,Val79,Val60,VaL3,Val07,vaL0,vAL3,val3622,VAl35,vAL25,val29,val2801,VaL17,val17,VaL26,f798,2023-01-03 02:00:56,vAL22
val2408,8,vb0040,vaL2,val51,VaL30,Val40,vAl53,Val55,Val8,VAl24,vAL39,vAl13,val22,val31,Val03,VAl38,vaL4,vaL99,VaL27,VaL21,vAL13,VAl3,val71,VAl18,vaL9,Val02,val1324,VaL3,Val68,Val1,val38,vaL9,Val80,vAl52,VAl1,VaL2,Val7,vAl19,Val43,VAl21,val1173,Val64,vAl73,f436,2023-01-01 23:35:45,vAl01
VAl37,-8,vb0071,val271,val66,val38,vAl9,vAl5,vAL29,val5,val1391,vAl13,val24,val30,vAL35,VAl1,vAL29,vAl52,val28,vaL84,val12,vAl45,vaL88,VaL1,vAl6,vAL12,val28,val13,val3814,VaL22,VAl33,vaL91,vAL34,VaL32,val34,vAl61,val59,VAl3,vaL85,vaL13,VAl30,vAL1,val35,val15,f9,2023-01-03 00:53:27,VAl27
VaL18,12,vb0014,vAl96,VAl35,vAl97,VAl11,VAl26,val36,Val67,val30,val27,VaL18,VAl26,vAL1,VAl30,vAL3,vaL39,val4,val2982,vAL1,VAl21,vAl33,vAL31,vaL62,Val96,val19,vaL86,VaL1,VAl11,val15,val35,val35,VAl20,val31,VAl1,val24,vaL1,vaL1,VaL11,val03,Val15,val14,vAl1,f6,2023-01-01 12:35:59,val2341
val9,13,vb0044,vAl7,vaL93,vaL8,vAl5,vaL9,vaL4,VAl22,VAl27,vAl78,VAl33,VAl18,VaL38,VAl3,val18,Val23,Val5,val2342,val27,vaL49,val2840,vAL3,VaL19,val32,val29,Val78,VAl28,vaL4,VaL3,VaL18,vAL30,VAl17,val5,VaL23,VaL24,vAL1,val94,VAl32,val25,vAL3,Val22,VaL14,t2,2023-01-02 01:27:39,val23
vAl49,8,vb0066,val120,VAl22,vaL56,VAl37,vaL73,VaL2,vaL06,vAL3,val2133,val3841,val11,vAL21,VAl39,vAL16,val33,vaL10,vAL17,val12,vaL4,vaL9,val38,VaL28,VaL2,VaL36,VaL34,vaL07,vaL63,VaL2,VAl3,val6,vaL00,VAl3,val15,val3970,vaL91,Val3,val10,vAL24,VaL32,Val60,vAl4,t307,2023-01-01 14:07:30,val30
VaL2,-2,vb0072,VaL39,Val87,VAl27,Val9,val3884,vaL2,vAL29,VaL30,vaL35,vAL18,vAL37,Val01,VAl39,VAl19,VAl1,VaL20,val17,val21,vAL3,vaL63,val37,VAl10,vaL88,val31,Val5,vaL04,val10,val21,VaL38,vAl96,vAL22,val17,val14,Val7,val18,val334,val29,vaL1,vAL39,vaL38,vAl95,f245,2023-01-02 11:03:42,val03
val33,12,vb0004,vAl6,vAl7,Val0,Val76,VAl37,VAl33,VAl13,vAL28,VAl1,Val12,val16,vAl45,vaL72,vAL20,vAl48,vAl77,vaL77,vAl33,VAl34,vAL38,Val8,val25,VaL28,val27,val11,vaL47,VAl15,vAL2,vAl06,vAl63,val16,val36,Val8,vAL38,VaL1,val64,VAl38,vAL34,val63,VAl2,VAl28,f4,2023-01-02 15:35:39,vAL25
