mandt,posnr,vbeln,uvpak,uvvlk,mill_vs_vssta,pksta,lssta,vlstp,absta,fksta,fkivp,lfgsa,rrsta,lfsta,fksaa,wbsta,ltsps,costa,fssta,kosta,uvpik,uvfak,uvall,rfgsa,uvprs,lvsta,rfsta,cmppj,cmppi,hdall,besta,pdsta,fsh_ar_stat_itm,manek,gbsta,uvwak,dcsta,uvp05,uvp02,uvp04,koqua,uvp01,uvp03,_fivetran_deleted,_fivetran_synced,_fivetran_sap_archived
Val0,5,vb0084,val85,val10,val18,VaL13,VAl3,VAl22,vaL79,val59,VAl2,VaL14,val25,val2785,val2418,val12,vAl58,Val22,vAL34,val23,vaL6,vAl52,val74,val21,val3702,vAl4,vAl40,vAl31,val33,vaL0,vAL27,Val29,val20,val1153,val19,val27,vAL16,val20,val39,VaL29,vaL61,val39,val8,f0,2023-01-01 14:23:01,val37
vAl55,-1,vb0010,VaL2,VAl2,val15,val2550,vAl57,vAL1,VaL15,vAL2,vAL21,vAL18,vaL7,VaL18,val24,val3381,Val1,VaL31,vAL2,VaL30,vaL47,vAl8,val24,vAl87,vAl0,val35,VaL12,vaL51,Val79,val08,VAl2,VaL35,vAL2,val39,val26,vAl7,vAl6,Val18,vAl95,vAL28,Val03,vAL23,vaL6,t2,2023-01-02 19:59:54,VAl1
vAl1,-6,vb0027,vAL3,vAl28,VAl32,val21,VaL16,vAL34,vAL21,VAl3,VaL39,vAl06,Val40,Val97,vaL51,val8,val33,vaL52,Val55,val27,vaL42,val32,vAl50,vaL31,vAl0,vAL12,VaL3,vaL75,Val8,vaL0,vAl5,vAL38,Val02,val2615,VaL34,vAL13,Val16,vAl91,VaL1,vAl21,vAl57,vAl57,VaL1,t8,2023-01-02 18:26:15,VAl22
Val88,-3,vb0060,val11,val29,vaL78,VaL3,VaL15,val3847,VaL16,val34,VaL39,vAL1,vAl9,VAl24,vaL92,vaL09,VaL30,vAL10,VaL1,vaL81,val30,val3366,Val59,vAL10,val3292,vAl74,val36,VaL10,vaL99,vAl68,Val4,Val80,VAl1,val79,VaL35,VAl28,VaL31,val3715,VaL2,VaL2,vAl4,val13,val24,t4,2023-01-02 04:36:46,VaL21
vAL11,1,vb0061,vAL35,vaL74,vAL33,VaL12,VaL39,vaL43,vAl42,Val01,vAL12,val26,val4,vaL3,val141,VaL33,Val6,vaL7,vaL82,val51,vAl94,VaL38,vAl01,vAL14,vAL16,Val41,VAl24,VAl3,Val23,val22,VAl2,Val4,vaL49,vAL3,VAl27,val30,vaL14,VaL17,vAL18,val13,vaL77,val37,vAL3,f9,2023-01-01 21:04:30,Val8
val28,-3,vb0077,VAl1,val3273,Val51,val27,VAl26,val9,val55,vaL73,vAl06,VaL12,VAl2,Val7,vAL10,val44,val1754,val34,VaL2,val1829,vaL71,VAl29,vaL68,vAL25,val32,VAl2,val12,vaL90,val20,val37,VaL39,VaL2,val1579,Val5,vaL46,Val72,vAL3,val25,vAl27,vaL53,vAl80,Val50,VAl3,t912,2023-01-03 09:08:53,vAL30
vaL93,3,vb0029,Val87,vaL71,vAl76,Val21,vAl23,vAL10,val25,vAl92,vAl21,val22,val2526,val2997,vAl82,vaL5,vAl56,Val9,VAl2,Val46,val2336,VaL39,val8,vAl02,VAl1,VaL2,val36,vAL27,val26,vAL32,VAl21,vAl67,VaL2,vaL6,vAL31,val96,vAl66,Val3,Val75,vaL05,Val41,vAL25,val4,f5,2023-01-01 19:44:49,Val85
val1454,-4,vb0001,vAL35,Val5,VAl35,VaL39,VaL20,val9,VaL25,Val68,vAl63,Val39,VaL2,vAL17,val2440,val66,Val75,val64,VAl34,val04,vaL08,vaL01,VAl21,vaL6,val38,vAl27,vaL83,vAL10,VaL28,val12,vAL21,vaL50,VAl3,Val54,val79,VaL2,val36,vaL89,vAl28,vAl41,vaL29,vaL90,val10,f0,2023-01-01 21:07:14,val42
Val02,9,vb0070,VaL1,vAL14,Val72,vAl99,VaL13,val60,VAl11,vAl06,VaL1,vaL69,vaL4,vAL23,val1794,val16,Val19,VAl35,Val39,vAl1,Val21,VAl26,vAl9,vAL2,VAl22,vaL66,Val70,val0,vaL41,val18,Val87,vAl9,Val82,vAL3,VAl10,Val5,vAl36,VAl26,vaL71,val61,val33,VAl2,vaL6,f9,2023-01-01 12:44:35,vAL30
val23,8,vb0042,VAl18,vaL3,val32,Val4,vaL48,val2306,val34,Val9,VAl17,Val73,val35,val39,vAL34,vAl8,vAL16,val55,vaL20,val97,vAL13,Val31,vAL3,VAl2,val1505,val98,vaL24,vAL2,VAl10,vAl8,vaL1,VaL3,VaL31,val1937,VaL14,vaL37,val3721,vAl0,val121,vAL17,Val5,Val75,Val4,f5,2023-01-03 00:27:20,vAL34
vAL1,-2,vb0030,val15,Val9,VAl26,vaL23,val3513,val34,vAl52,VaL14,Val92,VAl1,val10,vAl96,Val29,vAL2,Val9,VAl27,vAL31,val17,val3845,vAL1,vAL28,VaL11,val78,VAl1,VaL3,val07,vaL00,Val48,vaL05,vaL07,val1771,val5,val3667,val42,vAL1,vAl9,vaL89,VAl38,VAl16,val20,vaL28,t205,2023-01-03 04:05:34,vAl32
vaL0,0,vb0050,vAL17,vaL29,vAl6,val3294,Val02,VaL16,val74,vaL6,VAl26,VaL1,vAL2,VaL23,val26,vAl84,vaL70,VaL12,VaL37,vaL73,VaL11,Val92,vaL40,val3619,VaL21,val43,val2214,val11,val84,VAl15,vaL4,vAL20,val32,vAL1,vAL2,vaL51,Val89,val36,VAl12,vAl08,val34,vAl85,val3348,f2,2023-01-02 23:35:57,vAl62
Val51,10,vb0013,Val99,vaL7,VAl1,vAl94,vaL29,val3980,vaL45,vaL71,vaL44,vaL56,VaL28,Val33,VaL30,vAl6,val37,vAL10,vaL5,vaL88,vAl39,vAl27,val24,val4,vAL38,vAl4,vAl87,vaL7,val32,vaL95,vAL1,vAl6,VaL30,val38,vAl05,vaL67,vAl22,val23,vAL10,vAl92,vaL20,Val12,Val61,f2,2023-01-02 01:33:10,vaL5
vaL73,9,vb0073,val22,vAL2,VAl33,VaL10,vAl0,Val89,Val6,VaL24,val1408,Val59,val2123,vaL1,Val58,VaL25,VaL3,val34,val3956,val3157,Val7,Val5,VAl13,vaL08,vaL89,val118,Val64,VaL13,vAl3,val15,VAl36,VAl39,vAl03,vAl25,val2487,Val10,vAL12,val17,val48,vAL1,val3942,vAl33,vAL33,f9,2023-01-01 18:00:33,vAL32
val24,11,vb0054,vAl1,vAl74,val279,vAL27,VAl1,vAL35,val39,VaL10,VaL32,VaL14,vAL12,VaL1,val65,val10,vAL30,val3209,VaL38,VaL28,vaL4,vAl20,vaL74,VAl37,VAl27,val17,vAl5,Val8,VaL22,Val76,vaL42,vaL0,VaL39,VAl18,vAl72,val34,VAl1,val28,Val17,vaL32,VaL29,VaL30,VaL13,f0,2023-01-01 23:54:42,VAl16
VAl27,6,vb0064,vAL14,vAl0,vAl81,vAl52,vAl91,val8,val31,val1526,vAl47,vAl00,VAl33,VaL16,Val49,val24,vAl21,Val20,vAL21,vaL3,vAl73,vAL18,Val79,vaL56,vAL1,val18,vaL2,vAl3,VaL32,Val8,vAL20,vAL3,vaL7,vAl8,vaL09,vaL0,vaL70,vaL54,val37,vAl56,VaL26,val15,vAl02,f117,2023-01-02 18:16:27,vAL29
VaL1,13,vb0036,vAL33,val3528,val15,val56,vaL17,vaL9,vaL76,vaL2,VaL39,VAl15,vAl49,vAL3,vAl4,vAl1,VaL25,val18,val1629,val71,val21,vaL71,VaL36,val21,VaL19,val25,val23,val4,val19,VaL39,VaL1,val13,val77,val30,val11,VaL34,Val65,val27,vAl92,val6,val34,val3942,vAl78,f5,2023-01-02 14:39:34,val2362
vAL28,8,vb0011,vaL75,vAL3,val6,VAl36,vaL7,val1639,VaL29,VAl1,vAl0,vaL45,VAl10,Val8,vAl9,VaL37,vAl3,val21,VAl10,VaL3,VaL29,val20,VAl17,VaL28,val11,Val61,vaL09,VAl2,VaL23,val2608,vAl0,Val77,VaL3,val20,vaL6,Val04,vAl76,vaL22,VaL20,vAl67,VaL15,vaL01,vAL27,f3,2023-01-03 01:35:18,vaL9
VaL33,2,vb0053,VAl36,val20,val1353,val35,Val35,vAl67,vAL2,Val73,VaL11,val22,val37,VAl1,vaL89,vAl50,val54,Val34,val1401,VAl20,vAl7,val05,vAL38,val11,vAl10,VaL25,val184,vAl79,vaL07,vaL86,val20,val22,Val3,Val60,VaL32,vAl42,val33,VaL14,vaL56,vAL38,vAl39,VAl1,VAl25,t7,2023-01-01 13:12:11,val33
val16,-6,vb0045,Val90,val11,Val5,VaL29,val25,VAl36,val8,vaL21,Val50,Val97,VaL33,val33,val18,VAl18,vaL5,vaL31,vAl8,Val4,vAl60,VAl32,vaL07,VaL39,val2182,vAl27,val2406,vAL3,VaL18,val37,val91,val27,Val03,val35,val13,vaL77,VaL19,vaL56,Val4,VAl1,val1139,VaL3,vAL11,t1,2023-01-02 03:12:20,VaL14
VAl27,13,vb0078,val27,VAl24,VAl39,val6,val2385,VAl35,val2842,Val15,VaL23,vAl44,vAl9,val3688,VAl32,val20,val33,vAl64,Val95,val1588,vaL6,vAL14,vAL24,vAl36,Val96,val242,val34,vAL24,vAL23,VAl2,val87,VAl3,VAl30,vAl68,Val02,VAl10,val3784,vAL25,vAl25,vAl77,VAl1,VAl39,val87,t998,2023-01-01 20:33:51,vaL0
Val62,-4,vb0074,VaL27,Val43,val4,val38,vAL25,val2395,val30,vaL51,VAl2,vAL31,Val80,VAl24,val17,val30,val3205,val3877,vAL30,VaL18,val28,VAl29,vaL8,vaL2,VaL2,vAl82,vAl90,vAl6,vAl0,vAl0,val20,val30,VaL1,val16,val69,vAL17,val3534,VAl14,val24,vaL47,vaL50,vAL32,Val05,f2,2023-01-02 07:39:18,vAL3
VAl37,-5,vb0038,val29,val1898,vaL39,VaL1,Val35,val90,VAl2,vaL88,val18,vAl14,VaL38,vaL06,VAl32,vAl4,vAl22,VAl15,VAl2,VAl22,val3704,vAL31,val29,vaL58,vAl56,vAl12,vaL56,vAL10,val23,vAl74,VaL21,vAl37,Val88,vAl18,VAl34,vAL2,vaL03,VaL29,Val52,VaL26,Val0,VAl37,vAl7,f16,2023-01-03 02:02:25,Val8
val10,-6,vb0033,val5,val7,VaL3,val31,val13,vAl98,val25,Val37,VaL21,VAl12,Val87,VAl3,val14,val3169,Val73,VaL24,vAL2,VAl26,VaL1,VaL39,Val48,vaL5,vAl46,val2665,VaL35,vAl29,vaL67,VAl34,Val5,val33,vAl53,VaL21,vAL32,Val03,vAl74,val70,val278,val31,vAL38,vaL50,VaL39,f437,2023-01-02 09:28:44,val37
val36,8,vb0012,vAL14,val21,val10,val37,vAl36,Val44,val95,Val89,Val6,vAL16,val2614,val24,VaL3,val9,vaL70,VAl3,val2301,VaL37,vaL2,val35,vAl09,VAl28,val10,VAl12,val19,vaL23,val19,Val3,val16,VAl31,Val0,vaL83,VaL3,VaL39,vAL17,VAl28,val158,val16,vaL01,VAl26,VAl3,f2,2023-01-03 05:41:48,val3828
vAL24,-7,vb0055,vaL47,val29,vAL38,vAl2,VaL3,Val8,vaL51,vAl4,vAl25,val39,val33,vAL3,vAl97,Val2,VaL21,vaL60,Val77,VaL31,VaL1,Val25,vAl4,val33,vaL8,VaL2,val99,vAl81,vaL29,Val2,val15,VAl21,vaL19,VAl32,VAl22,vAl70,VaL2,vaL5,vAl58,vAL34,VAl39,vAl2,VAl18,f8,2023-01-02 13:17:07,vAl18
Val1,11,vb0041,VaL16,VAl18,val31,VAl13,val14,Val9,vAL3,val194,VaL14,vAL2,val26,VAl16,vAL3,vAl57,vAL3,vaL9,vAL1,VAl2,vAL3,vAl52,vaL81,vAL35,VaL10,vAL1,vaL6,VAl37,vAL12,val1427,vaL48,Val14,Val34,VaL29,Val26,vaL69,vaL2,VAl32,vaL21,vAL33,Val85,vaL73,VaL2,f9,2023-01-01 15:37:22,vAL3
val88,12,vb0057,Val5,vAL26,VaL27,VaL34,vAL25,vAL3,vaL19,vaL7,vaL9,vaL30,VAl27,val17,vAL38,Val95,vAl1,vAL17,VAl2,VaL14,vAl57,vAl6,Val89,vAL1,Val0,Val3,val14,vAl91,vAl58,vaL43,val21,VaL15,Val19,vaL57,val28,vAl76,vAl67,Val5,VaL1,vAL34,val38,vAl85,vAL39,f0,2023-01-03 02:42:35,VAl29
val14,5,vb0002,Val13,VaL25,val2900,val11,vaL86,vAl09,vaL77,vaL3,Val67,vaL27,vAl58,VAl2,val3213,VaL23,val52,vaL20,val38,vAL3,VaL26,val2382,vAL2,val27,VaL16,vAl97,val3502,val29,VaL38,vAl95,vAl92,vAL21,VaL3,Val60,vAL35,val13,Val07,vAL23,vaL50,VaL1,vaL86,Val01,vAl55,f818,2023-01-03 03:48:57,val12
val2120,-5,vb0024,VAl35,vaL2,vaL50,vAL1,vaL08,val34,vAL33,val16,val27,val37,VaL20,vAL38,vAL26,VAl19,vAL22,vaL57,vAL32,vAL3,Val09,vaL1,vaL8,Val7,vAL24,vAL3,val01,vaL19,val5,vaL74,VaL39,VaL1,Val72,VAl3,vaL81,vAl65,Val94,vaL41,vAl78,Val53,vAl03,vAL1,Val00,t0,2023-01-01 15:14:47,val32
vaL55,-5,vb0020,Val00,VAl11,VaL39,VaL20,Val96,VAl29,vAl45,vAL3,val01,Val46,VaL1,vaL1,Val16,vAL1,Val79,vaL83,vaL26,vAl2,vaL99,vAL1,vAl59,val33,vAL33,VAl14,Val36,VaL30,val29,val67,VAl37,VAl37,val14,Val4,vAL2,VAl1,Val5,val14,vaL1,vAL16,val19,Val99,VaL1,f956,2023-01-02 17:39:23,val55
Val7,5,vb0023,val19,VAl3,vAl14,val27,vAl84,Val2,vaL4,VAl13,vaL83,Val56,vaL79,vAL32,Val9,vaL90,VAl3,val1986,val1316,vaL27,VaL28,vAL3,VAl22,Val9,val2433,val20,Val4,vaL1,val10,val1674,vaL0,VAl1,VaL2,val21,vaL60,vAl7,val17,Val9,VaL19,vAL3,VaL1,vaL03,val24,t2,2023-01-02 05:04:15,val23
vAl18,-5,vb0063,vaL77,Val49,vAL14,Val20,VAl30,val29,val20,vAL22,val22,vAl99,vaL70,VaL3,vAL34,vAl2,val3661,Val75,vAl13,vaL90,VAl23,vAl79,val3372,val1893,val32,VaL33,val27,vAL36,vAl95,Val60,val38,val37,val33,val23,vAl62,VaL13,vAl8,VaL36,vAl73,VAl10,VAl37,val1350,vAL34,f292,2023-01-01 20:47:02,Val16
val1453,8,vb0008,val35,VaL1,val12,VAl38,val32,vaL29,val29,VaL36,VAl38,val1831,val75,VAl3,val1952,VAl10,VaL13,Val74,vAL20,val3972,vaL18,VaL38,vAl76,vAl62,vaL6,VaL1,VAl27,vaL59,val12,val3507,vaL06,VaL20,vaL91,val5,val3246,Val9,val60,vaL92,vAL2,VAl3,vAL13,Val90,vAl19,t493,2023-01-02 21:44:05,Val87
vaL64,-3,vb0080,VaL19,vAL23,vaL8,vaL52,vAL24,VAl1,vaL0,VAl23,val19,vAL10,Val94,vAL34,val27,vAL32,Val03,vAl2,vAL35,VaL1,val39,vAl6,VAl16,Val42,vaL53,Val13,val9,vAL23,VaL2,val73,val25,vAl41,VAl14,vaL51,val35,vaL91,vaL3,val26,Val1,val18,Val48,VAl31,val51,t8,2023-01-02 10:03:59,VaL1
Val9,-6,vb0017,vAl0,VaL3,vAl80,Val34,val2318,vAL2,val34,val26,vAl42,val2646,val38,Val58,VaL26,vAl41,vAl8,val1315,VAl3,vAL28,vaL02,val143,Val20,vAl0,VaL1,val16,val78,Val70,val3412,VAl15,val39,VaL23,val4,vAL30,VaL20,val3842,VAl35,val2374,val18,vAL2,VAl28,val15,val1328,f9,2023-01-01 12:02:25,vAl46
val16,-4,vb0028,val72,vAl59,vAl46,VaL2,val27,vaL46,vaL00,vaL14,Val96,val31,val33,vaL4,vaL56,VAl2,vaL79,vAL30,val39,VAl26,val34,vAl3,VAl28,vAL37,Val5,Val0,vaL92,VAl36,val18,vAl5,val10,Val56,val9,vaL7,VAl2,val15,val24,vaL1,val31,vaL90,VAl33,vAL2,vaL7,f6,2023-01-02 00:36:01,val24
Val84,1,vb0082,vAL18,vAL38,vaL96,vaL81,VAl24,Val87,vAL3,Val0,vAL1,VaL28,val14,vAL22,vaL07,Val3,VAl14,VAl10,VAl16,val73,val35,vAL38,vAl27,vaL29,vaL95,Val27,Val03,VAl35,vAL38,Val91,VaL20,vAL27,vAL25,vaL90,VAl37,val1942,val62,val32,Val8,val3543,Val9,Val54,VaL1,t0,2023-01-02 17:33:34,vAL25
Val40,0,vb0059,val32,vaL39,vAL32,Val40,VAl28,VAl27,vaL6,val23,val3621,vAl6,VaL36,VaL28,val25,val10,val4,val21,VaL3,Val44,val13,VAl26,VAl17,VAl2,vaL6,Val17,vAl86,vAL39,vaL5,VaL30,Val50,VaL3,vaL59,val21,Val30,vAl97,Val06,vaL77,Val63,VaL10,vAl38,VaL39,val34,t318,2023-01-03 05:24:01,vAl7
val31,-5,vb0126,vAl24,VAl26,vaL28,vAL39,vAl8,vaL46,VAl21,vAL26,VaL3,vaL93,vaL39,VaL24,vaL72,val06,vAL1,Val4,vAl10,vaL76,vAl59,vAl5,vaL55,vAl9,vAL1,vaL81,Val3,vAl20,vAl8,Val5,VAl19,vAl05,vAL1,Val2,val23,vaL10,VAl28,vAl04,vaL91,Val60,Val63,vAL10,VaL18,f6,2023-01-02 00:45:32,vaL7
val28,3,vb0127,vaL71,vAL3,val18,val22,VaL39,Val78,VaL17,val1498,Val18,vaL96,vAL1,vAl52,val31,vAl4,vaL51,val98,vAL34,VAl14,vAl94,vAL26,Val58,vAL25,Val5,val17,vaL4,VaL16,vAL35,VAl28,VaL15,vAl6,vaL05,VAl16,val72,VaL33,Val6,vAl19,val18,VaL3,VAl30,val34,vaL60,f8,2023-01-02 11:46:41,Val1
vAL11,9,vb0128,val4,vAL27,VaL18,VAl20,VAl31,Val20,val39,VAl10,VaL37,VAl19,val6,vaL00,vAl17,VAl37,vAl47,vAL2,val55,vaL7,vAL1,vAl74,vAL2,VaL11,vAl07,Val93,VAl24,VaL2,vAL33,vAl50,val69,VAl1,VAl3,val14,vAl0,VAl12,vAL37,Val49,vAL17,vAl38,vAL12,val2268,vAl39,f389,2023-01-01 13:23:07,Val9
vAL28,0,vb0129,val5,VaL1,vAL28,vAl28,Val54,val08,val77,val20,Val64,vAl9,VaL38,vaL82,val67,val7,vaL33,Val8,VAl1,vAl69,Val5,vAl70,VaL26,vAl7,vAl02,val29,VAl24,Val87,vAl0,vaL65,vaL01,val2210,Val59,Val78,vAl9,VaL18,val18,val38,val13,vAL3,VAl35,vaL1,vAL1,f0,2023-01-02 01:42:09,vAL2
vAl53,-6,vb0130,val3124,vAL15,val37,vAl41,val11,VAl30,val38,vaL7,val1669,VAl11,vAL3,VAl3,val21,val30,vAL29,VaL3,val32,vaL17,VAl22,vaL8,vaL9,Val6,val61,vAl3,vAL35,vAL29,vAL34,Val49,vAl1,vAL30,VaL16,vAL2,val0,vaL7,Val26,VAl2,VAl13,VaL1,Val9,val1108,vAL26,t6,2023-01-03 06:12:18,vaL7
VAl1,-4,vb0131,vAL3,Val70,val20,vAl1,vaL63,VAl22,vaL34,vAl4,vaL02,vAl3,VAl2,VAl28,Val41,vAl4,Val7,val32,VAl29,Val5,val57,VAl2,vaL42,val1314,VaL23,val10,vAL19,vAl0,val29,vAl26,Val66,vAl5,Val13,vaL06,vaL95,val32,VaL2,vAl87,Val03,VaL1,Val44,VAl13,val252,f7,2023-01-03 01:46:59,val22
VaL20,-9,vb0132,Val5,val25,val3330,val3329,val1480,vAl87,VaL3,val1664,vaL04,vAl99,Val4,VAl3,VaL21,val3584,val1910,VaL12,Val89,VAl2,vAl59,vaL70,Val5,val20,Val46,Val47,VaL32,VaL15,val39,vAL16,VaL28,val31,val2429,VAl21,vAl66,vAl4,VaL3,Val03,vAL32,vaL15,vAl6,VaL23,val1647,t1,2023-01-01 23:37:52,VAl38
VAl2,8,vb0133,Val62,val71,vaL83,vAL23,val2465,VAl11,val86,val83,Val06,vAl7,val19,val32,vaL7,VAl3,val17,Val14,VAl14,vAl1,vaL85,VaL2,val1207,vAl93,vAL38,val33,VAl29,val06,val29,vAl32,VAl19,vAl50,vAL27,vAL13,VaL3,vAl35,val152,Val72,Val34,VaL18,Val45,val3864,val11,f0,2023-01-03 04:12:29,vaL80
val3625,13,vb0134,vaL5,vaL4,val38,Val78,VAl3,vAl9,VAl17,val18,val257,val3827,VaL1,val35,VAl16,vAL3,val35,val10,vaL68,Val26,vAL1,vaL8,VaL20,val11,Val93,vAl27,VaL3,Val96,vaL1,vaL03,VAl3,Val0,Val34,VAl1,VAl34,val39,VaL12,VaL14,val38,VAl1,vaL25,VaL3,val3324,f800,2023-01-03 07:14:44,vAl75
val2418,0,vb0135,Val6,VAl20,vAl17,vAL2,vaL99,VAl27,VaL18,VaL2,vAl8,vaL77,VaL14,vAl68,vAL1,vaL06,vAL2,vAL26,VaL2,vAL1,val9,vAL28,VAl2,Val66,val1726,Val86,vAL11,VaL3,vAl87,val26,vAl93,VAl11,vAL10,val19,VAl30,val21,val77,val2595,Val13,val82,vAL2,vAL20,vaL76,t272,2023-01-01 21:39:58,vaL50
vAL2,9,vb0136,Val94,vaL28,VaL12,VaL22,val19,VAl36,Val8,val1550,vaL03,VAl36,VAl33,vaL07,vAl8,VAl24,vaL92,vAl8,vAL3,val34,val1516,VaL36,vAL26,vaL53,vAL35,Val60,val1118,Val1,val11,val8,Val71,VaL15,vAl64,VAl3,vAL25,vAl09,vaL78,vAl18,VaL10,VaL27,val24,VaL3,val2260,t7,2023-01-02 02:51:23,val10
VaL25,2,vb0137,vAL10,VAl24,VAl25,val14,val32,val37,VaL11,Val27,val71,vAl82,val2382,VaL11,vAL13,vaL04,vAl7,VAl35,VaL39,Val87,VAl13,val4,val251,vaL60,vaL82,val15,val97,VAl2,VAl35,VAl15,val32,Val81,VaL3,VaL39,Val5,vAl60,vAL3,Val6,VaL30,vAl0,vAl97,Val86,val42,f131,2023-01-03 05:20:16,vAl04
